Date,State,District,Mandi,Commodity,Variety,Min Price,Max Price,Modal Price,Unit,Arrival Quantity,Grade,Market Fee (%),Trader Count
2024-06-15,Maharashtra,Nagpur,Wholesale Yard,Sugarcane,CO 86032,1037,1272,1163.5,Quintal,63.18,C,2.01,3
2024-06-09,Uttar Pradesh,Kanpur,Agro Market,Sugarcane,CO 0238,807,964,919.5,Quintal,62.8,A,2.21,5
2024-06-18,Gujarat,Vadodara,Main Mandi,Sugarcane,CO 0238,1094,1353,1226.5,Quintal,56.6,C,1.38,13
2024-01-07,Gujarat,Ahmedabad,Wholesale Yard,Potato,Kufri Jyoti,1094,1303,1178.5,Quintal,95.95,B,1.3,11
2024-03-14,Gujarat,Surat,Wholesale Yard,Potato,Chipsona,889,1208,1071.5,Quintal,8.04,C,1.14,9
2024-04-22,Maharashtra,Nashik,Main Mandi,Maize,White,1049,1168,1078.5,Quintal,44.16,A,2.94,12
2024-03-04,Karnataka,Mysore,Sub Mandi,Onion,Red,926,1164,1047.0,Quintal,57.64,C,2.06,14
2024-02-09,Punjab,Amritsar,Wholesale Yard,Tomato,Desi,1060,1355,1171.5,Quintal,5.47,C,1.16,11
2024-04-12,Punjab,Ludhiana,Sub Mandi,Wheat,Lokwan,1147,1378,1243.5,Quintal,42.28,B,1.36,3
2024-01-22,Uttar Pradesh,Lucknow,Agro Market,Maize,Yellow,1147,1418,1263.5,Quintal,65.64,B,1.17,5
2024-03-11,Gujarat,Ahmedabad,Main Mandi,Potato,Kufri Jyoti,999,1268,1092.5,Quintal,65.9,B,1.91,11
2024-02-16,Gujarat,Surat,Wholesale Yard,Wheat,Lokwan,1170,1475,1328.5,Quintal,99.34,A,2.36,9
2024-06-09,Maharashtra,Pune,Main Mandi,Onion,Pink,1040,1263,1124.5,Quintal,44.47,B,1.81,13
2024-06-13,Karnataka,Bangalore,Wholesale Yard,Maize,Yellow,866,1228,1053.0,Quintal,99.29,A,2.31,7
2024-04-28,Punjab,Patiala,Sub Mandi,Tomato,Desi,1186,1310,1260.0,Quintal,61.87,B,2.78,6
2024-03-28,Maharashtra,Nagpur,Agro Market,Tomato,Hybrid,860,964,870.0,Quintal,79.05,A,2.98,13
2024-03-11,Punjab,Amritsar,Main Mandi,Rice,Basmati,1150,1497,1319.5,Quintal,5.64,A,1.79,3
2024-03-12,Punjab,Patiala,Sub Mandi,Rice,Kolam,1089,1210,1128.5,Quintal,86.25,B,2.43,6
2024-03-02,Karnataka,Mysore,Sub Mandi,Potato,Kufri Jyoti,848,1141,957.5,Quintal,12.05,A,2.9,9
2024-05-30,Karnataka,Bangalore,Wholesale Yard,Tomato,Hybrid,1033,1431,1195.0,Quintal,97.08,C,2.84,12
2024-05-15,Maharashtra,Pune,Sub Mandi,Maize,White,1197,1384,1262.5,Quintal,59.79,C,1.53,6
2024-01-29,Karnataka,Hubli,Sub Mandi,Onion,White,1132,1494,1285.0,Quintal,96.8,A,1.15,12
2024-03-21,Gujarat,Ahmedabad,Agro Market,Onion,White,846,1241,1034.5,Quintal,74.58,C,2.63,6
2024-04-01,Punjab,Patiala,Main Mandi,Wheat,Sharbati,1199,1381,1246.0,Quintal,53.33,A,1.78,9
2024-02-28,Punjab,Ludhiana,Sub Mandi,Wheat,Durum,1085,1250,1194.5,Quintal,24.88,C,2.06,11
2024-01-15,Punjab,Patiala,Wholesale Yard,Rice,Kolam,1038,1285,1131.5,Quintal,49.61,A,2.12,12
2024-05-10,Karnataka,Mysore,Wholesale Yard,Tomato,Hybrid,1175,1361,1262.0,Quintal,47.45,C,1.82,9
2024-02-23,Uttar Pradesh,Varanasi,Wholesale Yard,Rice,Sona Masoori,906,1175,1083.5,Quintal,20.96,C,1.85,9
2024-02-28,Karnataka,Hubli,Main Mandi,Onion,Red,846,1213,1055.5,Quintal,87.56,A,2.03,8
2024-06-05,Gujarat,Surat,Sub Mandi,Wheat,Durum,1092,1268,1229.0,Quintal,36.1,B,1.27,9
2024-01-16,Maharashtra,Pune,Main Mandi,Wheat,Sharbati,1150,1524,1302.0,Quintal,6.98,C,2.12,15
2024-04-02,Gujarat,Ahmedabad,Sub Mandi,Potato,Kufri Jyoti,852,1085,1017.5,Quintal,81.13,B,2.28,5
2024-05-04,Gujarat,Ahmedabad,Sub Mandi,Sugarcane,CO 0238,1180,1575,1375.5,Quintal,23.53,A,2.3,12
2024-04-21,Karnataka,Mysore,Sub Mandi,Maize,White,1129,1238,1157.5,Quintal,84.63,B,2.09,2
2024-04-11,Uttar Pradesh,Varanasi,Main Mandi,Tomato,Hybrid,1142,1419,1310.5,Quintal,66.82,A,1.18,14
2024-05-10,Maharashtra,Nashik,Main Mandi,Rice,Basmati,1037,1303,1215.0,Quintal,30.99,A,2.42,3
2024-04-25,Gujarat,Vadodara,Agro Market,Sugarcane,CO 86032,882,1200,1063.0,Quintal,91.49,C,1.64,8
2024-06-27,Karnataka,Bangalore,Main Mandi,Wheat,Durum,907,1238,1051.5,Quintal,34.32,C,2.55,12
2024-06-11,Maharashtra,Nashik,Main Mandi,Wheat,Sharbati,884,1280,1093.0,Quintal,42.9,C,2.62,10
2024-03-09,Punjab,Patiala,Agro Market,Potato,Kufri Jyoti,877,1252,1048.5,Quintal,78.39,A,2.58,3
2024-02-01,Punjab,Amritsar,Main Mandi,Rice,Basmati,1179,1543,1390.0,Quintal,69.87,A,1.52,11
2024-01-06,Karnataka,Bangalore,Sub Mandi,Onion,Pink,1154,1447,1265.5,Quintal,83.55,C,2.69,12
2024-05-18,Uttar Pradesh,Lucknow,Agro Market,Potato,Chipsona,859,1082,934.5,Quintal,34.54,A,1.38,13
2024-05-07,Karnataka,Hubli,Main Mandi,Potato,Chipsona,1172,1475,1311.5,Quintal,95.92,B,2.48,8
2024-03-05,Maharashtra,Nagpur,Wholesale Yard,Wheat,Lokwan,907,1164,1041.5,Quintal,66.97,A,1.28,13
2024-01-19,Maharashtra,Nashik,Sub Mandi,Potato,Kufri Jyoti,945,1150,1037.5,Quintal,75.2,B,2.05,7
2024-01-09,Karnataka,Mysore,Sub Mandi,Sugarcane,CO 0238,1200,1326,1251.0,Quintal,81.67,C,1.36,12
2024-02-23,Karnataka,Mysore,Agro Market,Tomato,Desi,907,1169,995.0,Quintal,77.05,B,1.06,8
2024-05-06,Uttar Pradesh,Kanpur,Main Mandi,Maize,Yellow,940,1200,1089.0,Quintal,69.67,C,1.21,7
2024-03-01,Uttar Pradesh,Lucknow,Main Mandi,Potato,Kufri Jyoti,845,973,922.0,Quintal,89.03,C,1.14,15
2024-01-07,Punjab,Amritsar,Main Mandi,Sugarcane,CO 0238,947,1287,1104.0,Quintal,99.13,C,1.2,10
2024-05-04,Punjab,Patiala,Main Mandi,Wheat,Lokwan,940,1199,1088.5,Quintal,23.93,C,2.13,3
2024-04-22,Uttar Pradesh,Kanpur,Wholesale Yard,Onion,Red,1176,1456,1282.0,Quintal,37.34,B,1.94,10
2024-06-22,Karnataka,Mysore,Agro Market,Potato,Kufri Jyoti,1123,1427,1255.0,Quintal,73.68,A,1.34,3
2024-04-12,Gujarat,Ahmedabad,Main Mandi,Rice,Basmati,938,1232,1035.0,Quintal,35.25,B,1.48,10
2024-01-12,Gujarat,Surat,Agro Market,Onion,White,981,1376,1154.5,Quintal,45.0,B,2.25,5
2024-06-19,Maharashtra,Nashik,Agro Market,Onion,Pink,926,1076,980.0,Quintal,55.32,C,1.99,12
2024-01-11,Uttar Pradesh,Lucknow,Wholesale Yard,Wheat,Lokwan,1196,1335,1248.5,Quintal,8.39,A,2.55,5
2024-03-05,Punjab,Amritsar,Wholesale Yard,Onion,Pink,930,1268,1097.0,Quintal,27.49,C,2.54,5
2024-04-08,Gujarat,Surat,Agro Market,Onion,White,1024,1416,1207.0,Quintal,39.58,C,1.04,13
2024-02-28,Uttar Pradesh,Lucknow,Wholesale Yard,Wheat,Durum,815,927,845.0,Quintal,75.49,A,1.59,8
2024-05-25,Maharashtra,Nashik,Wholesale Yard,Onion,Pink,935,1179,1019.0,Quintal,32.62,B,2.6,12
2024-02-06,Punjab,Amritsar,Wholesale Yard,Potato,Chipsona,1063,1354,1258.5,Quintal,45.88,B,2.94,7
2024-06-07,Punjab,Ludhiana,Main Mandi,Onion,White,1089,1467,1320.0,Quintal,64.53,C,2.24,8
2024-06-07,Uttar Pradesh,Kanpur,Sub Mandi,Rice,Kolam,858,1231,1063.5,Quintal,78.71,B,1.18,4
2024-04-18,Karnataka,Mysore,Agro Market,Tomato,Desi,893,1115,1024.0,Quintal,43.67,B,1.89,11
2024-05-08,Maharashtra,Nashik,Sub Mandi,Tomato,Hybrid,952,1157,1091.5,Quintal,14.57,A,1.81,13
2024-06-24,Karnataka,Hubli,Agro Market,Onion,Pink,1045,1270,1193.5,Quintal,67.82,C,1.91,10
2024-06-07,Karnataka,Bangalore,Sub Mandi,Maize,White,804,914,876.0,Quintal,92.76,A,2.61,4
2024-04-08,Maharashtra,Nagpur,Wholesale Yard,Wheat,Durum,807,1168,984.5,Quintal,34.91,C,2.41,11
2024-03-15,Karnataka,Mysore,Agro Market,Potato,Kufri Jyoti,820,1098,951.0,Quintal,82.85,C,2.88,4
2024-03-24,Maharashtra,Nagpur,Main Mandi,Tomato,Desi,915,1256,1099.5,Quintal,90.41,A,2.11,14
2024-05-22,Punjab,Patiala,Wholesale Yard,Wheat,Durum,912,1063,1035.5,Quintal,18.46,C,2.92,4
2024-02-06,Uttar Pradesh,Varanasi,Sub Mandi,Wheat,Lokwan,1105,1309,1157.0,Quintal,59.44,C,2.79,4
2024-01-10,Karnataka,Mysore,Sub Mandi,Tomato,Hybrid,1096,1298,1229.0,Quintal,81.95,C,1.54,8
2024-06-28,Maharashtra,Nashik,Wholesale Yard,Onion,White,1078,1443,1224.5,Quintal,47.28,A,1.0,13
2024-01-25,Karnataka,Hubli,Main Mandi,Maize,White,963,1309,1089.0,Quintal,58.63,A,1.42,12
2024-04-17,Punjab,Patiala,Main Mandi,Sugarcane,CO 0238,1119,1337,1200.0,Quintal,17.44,A,2.23,9
2024-06-15,Punjab,Amritsar,Main Mandi,Wheat,Lokwan,1130,1495,1299.5,Quintal,84.26,A,2.89,6
2024-05-05,Maharashtra,Nashik,Main Mandi,Sugarcane,CO 86032,816,1107,962.5,Quintal,7.91,A,2.11,3
2024-05-02,Punjab,Ludhiana,Main Mandi,Maize,Yellow,1035,1419,1183.0,Quintal,69.19,B,2.62,12
2024-02-06,Gujarat,Ahmedabad,Wholesale Yard,Tomato,Hybrid,1169,1486,1305.5,Quintal,29.95,C,1.44,9
2024-03-18,Uttar Pradesh,Lucknow,Sub Mandi,Wheat,Durum,906,1263,1052.5,Quintal,17.41,A,2.38,9
2024-05-09,Gujarat,Ahmedabad,Agro Market,Maize,White,980,1301,1093.5,Quintal,96.68,B,1.23,7
2024-02-21,Punjab,Ludhiana,Wholesale Yard,Potato,Kufri Jyoti,844,1238,1053.0,Quintal,82.44,A,1.69,9
2024-03-01,Punjab,Patiala,Sub Mandi,Maize,White,1148,1258,1241.0,Quintal,62.49,C,1.47,2
2024-03-31,Punjab,Amritsar,Wholesale Yard,Rice,Sona Masoori,909,1209,1028.0,Quintal,7.56,C,2.95,7
2024-03-06,Maharashtra,Nashik,Sub Mandi,Sugarcane,CO 86032,1018,1401,1187.5,Quintal,33.83,C,1.0,13
2024-03-30,Punjab,Patiala,Agro Market,Sugarcane,CO 86032,879,1222,1001.5,Quintal,58.57,A,2.2,3
2024-01-21,Karnataka,Bangalore,Wholesale Yard,Sugarcane,CO 0238,836,1089,922.5,Quintal,15.41,C,2.36,11
2024-05-20,Maharashtra,Nashik,Main Mandi,Sugarcane,CO 0238,907,1179,1051.0,Quintal,23.35,A,2.05,4
2024-06-19,Punjab,Patiala,Main Mandi,Wheat,Sharbati,899,1120,988.5,Quintal,68.92,B,1.24,7
2024-03-02,Gujarat,Surat,Main Mandi,Onion,Red,1004,1326,1160.0,Quintal,13.34,A,2.45,9
2024-02-12,Uttar Pradesh,Lucknow,Main Mandi,Potato,Kufri Jyoti,1097,1384,1251.5,Quintal,27.89,C,2.79,3
2024-03-20,Uttar Pradesh,Varanasi,Wholesale Yard,Rice,Basmati,1149,1544,1309.5,Quintal,70.33,A,1.87,9
2024-05-17,Karnataka,Hubli,Agro Market,Tomato,Hybrid,808,948,828.0,Quintal,80.09,B,2.17,9
2024-01-19,Uttar Pradesh,Lucknow,Main Mandi,Potato,Kufri Jyoti,941,1053,1039.0,Quintal,97.63,B,2.89,3
2024-04-09,Punjab,Amritsar,Sub Mandi,Tomato,Hybrid,1012,1133,1072.5,Quintal,73.78,C,2.56,13
2024-03-24,Karnataka,Bangalore,Wholesale Yard,Wheat,Sharbati,897,1163,1028.0,Quintal,40.91,A,2.68,11
2024-05-24,Punjab,Ludhiana,Main Mandi,Tomato,Hybrid,1153,1360,1206.5,Quintal,20.55,A,2.18,12
2024-02-14,Maharashtra,Pune,Wholesale Yard,Onion,Pink,1197,1428,1283.5,Quintal,81.48,C,1.36,12
2024-05-02,Gujarat,Ahmedabad,Main Mandi,Tomato,Desi,965,1236,1060.5,Quintal,30.43,A,1.5,2
2024-06-18,Karnataka,Hubli,Main Mandi,Rice,Basmati,1120,1383,1270.5,Quintal,61.54,C,2.63,9
2024-01-20,Punjab,Amritsar,Main Mandi,Onion,White,1176,1425,1312.5,Quintal,94.05,B,2.93,5
2024-05-18,Punjab,Patiala,Wholesale Yard,Maize,White,1016,1352,1201.0,Quintal,74.43,B,2.33,13
2024-03-09,Karnataka,Bangalore,Agro Market,Sugarcane,CO 86032,878,1040,949.0,Quintal,8.97,A,1.72,6
2024-01-31,Uttar Pradesh,Kanpur,Agro Market,Wheat,Durum,1148,1272,1183.0,Quintal,50.39,A,2.6,10
2024-01-25,Gujarat,Vadodara,Main Mandi,Rice,Basmati,854,1088,946.0,Quintal,38.13,C,2.32,2
2024-04-09,Punjab,Ludhiana,Wholesale Yard,Rice,Basmati,1127,1343,1224.0,Quintal,77.22,C,1.65,10
2024-02-17,Maharashtra,Nagpur,Sub Mandi,Wheat,Sharbati,860,1049,988.5,Quintal,6.99,A,1.99,8
2024-02-13,Maharashtra,Nagpur,Agro Market,Onion,White,941,1086,1011.5,Quintal,53.35,B,1.5,13
2024-05-05,Karnataka,Hubli,Sub Mandi,Wheat,Durum,1097,1481,1338.0,Quintal,58.74,A,1.2,14
2024-01-28,Gujarat,Ahmedabad,Wholesale Yard,Wheat,Lokwan,1068,1305,1204.5,Quintal,30.28,A,1.95,10
2024-04-06,Karnataka,Mysore,Main Mandi,Sugarcane,CO 86032,882,1267,1073.5,Quintal,11.06,A,1.58,5
2024-04-09,Gujarat,Ahmedabad,Agro Market,Tomato,Desi,1147,1309,1277.0,Quintal,93.94,C,2.42,6
2024-05-11,Gujarat,Vadodara,Agro Market,Sugarcane,CO 86032,823,1131,928.0,Quintal,33.52,C,2.08,11
2024-01-27,Karnataka,Hubli,Sub Mandi,Potato,Chipsona,1140,1496,1356.0,Quintal,75.77,A,2.99,15
2024-03-14,Karnataka,Hubli,Sub Mandi,Potato,Kufri Jyoti,1184,1431,1267.5,Quintal,70.68,C,1.33,8
2024-03-17,Punjab,Patiala,Main Mandi,Wheat,Durum,1106,1243,1146.5,Quintal,38.09,A,1.81,5
2024-06-03,Uttar Pradesh,Kanpur,Wholesale Yard,Rice,Basmati,808,1145,988.5,Quintal,44.21,A,2.12,7
2024-03-13,Karnataka,Hubli,Sub Mandi,Wheat,Durum,1157,1258,1169.5,Quintal,24.0,B,2.36,13
2024-05-08,Gujarat,Surat,Main Mandi,Potato,Kufri Jyoti,900,1245,1082.5,Quintal,32.9,C,2.35,6
2024-03-07,Karnataka,Hubli,Wholesale Yard,Sugarcane,CO 86032,1045,1333,1162.0,Quintal,47.61,C,1.82,8
2024-02-05,Karnataka,Hubli,Main Mandi,Rice,Kolam,1131,1459,1336.0,Quintal,11.95,A,2.19,11
2024-01-19,Maharashtra,Nagpur,Sub Mandi,Potato,Chipsona,985,1218,1057.5,Quintal,21.95,C,1.15,10
2024-06-28,Karnataka,Mysore,Agro Market,Potato,Kufri Jyoti,822,1168,981.0,Quintal,19.71,B,2.72,5
2024-05-25,Karnataka,Bangalore,Main Mandi,Tomato,Hybrid,809,1162,1033.5,Quintal,25.96,B,2.64,12
2024-04-20,Maharashtra,Pune,Wholesale Yard,Maize,Yellow,1112,1215,1213.5,Quintal,87.76,B,1.36,14
2024-02-22,Gujarat,Surat,Agro Market,Potato,Chipsona,908,1275,1091.5,Quintal,46.96,B,2.14,14
2024-03-15,Punjab,Amritsar,Wholesale Yard,Rice,Sona Masoori,902,1040,940.0,Quintal,52.71,B,2.62,11
2024-01-11,Punjab,Patiala,Main Mandi,Tomato,Hybrid,967,1332,1114.5,Quintal,96.73,A,2.25,6
2024-02-01,Maharashtra,Nashik,Main Mandi,Rice,Sona Masoori,1079,1353,1223.0,Quintal,87.2,B,1.89,3
2024-03-31,Gujarat,Vadodara,Sub Mandi,Sugarcane,CO 86032,1151,1253,1203.0,Quintal,90.79,C,1.5,7
2024-05-18,Karnataka,Hubli,Main Mandi,Potato,Kufri Jyoti,1097,1370,1200.5,Quintal,25.72,C,1.39,5
2024-04-26,Karnataka,Hubli,Sub Mandi,Sugarcane,CO 86032,1025,1138,1094.5,Quintal,13.83,A,2.91,13
2024-01-04,Maharashtra,Pune,Wholesale Yard,Sugarcane,CO 0238,819,1206,1030.5,Quintal,5.17,C,2.57,3
2024-02-11,Maharashtra,Nagpur,Main Mandi,Onion,White,927,1162,1009.5,Quintal,35.92,A,2.25,12
2024-06-11,Gujarat,Ahmedabad,Wholesale Yard,Tomato,Hybrid,1075,1297,1141.0,Quintal,32.5,C,2.78,9
2024-03-27,Punjab,Ludhiana,Agro Market,Onion,Pink,962,1189,1105.5,Quintal,29.01,C,1.95,8
2024-05-26,Punjab,Patiala,Sub Mandi,Wheat,Lokwan,882,1221,1023.5,Quintal,33.84,A,1.12,9
2024-06-05,Karnataka,Mysore,Sub Mandi,Tomato,Hybrid,829,1127,949.0,Quintal,67.88,A,1.65,3
2024-02-25,Gujarat,Ahmedabad,Agro Market,Wheat,Durum,1034,1137,1065.5,Quintal,38.62,C,2.99,6
2024-02-14,Karnataka,Bangalore,Main Mandi,Wheat,Durum,839,1123,987.0,Quintal,18.67,B,1.91,8
2024-02-02,Karnataka,Bangalore,Main Mandi,Tomato,Desi,858,1137,962.5,Quintal,91.43,C,2.78,9
2024-04-12,Punjab,Amritsar,Wholesale Yard,Rice,Sona Masoori,1185,1470,1304.5,Quintal,34.37,A,1.07,9
2024-02-26,Gujarat,Ahmedabad,Main Mandi,Maize,White,905,1069,1007.0,Quintal,9.65,A,2.83,10
2024-03-03,Gujarat,Ahmedabad,Sub Mandi,Maize,Yellow,1176,1529,1390.5,Quintal,93.74,A,2.52,5
2024-06-29,Karnataka,Hubli,Main Mandi,Onion,White,909,1168,1045.5,Quintal,23.17,B,2.39,2
2024-04-18,Maharashtra,Pune,Wholesale Yard,Sugarcane,CO 86032,1159,1498,1369.5,Quintal,31.19,A,2.69,11
2024-05-11,Gujarat,Vadodara,Agro Market,Maize,White,826,1151,1017.5,Quintal,60.47,C,2.25,11
2024-06-13,Uttar Pradesh,Lucknow,Sub Mandi,Potato,Kufri Jyoti,1154,1540,1327.0,Quintal,97.75,C,2.03,12
2024-04-25,Maharashtra,Nashik,Agro Market,Wheat,Sharbati,926,1144,1011.0,Quintal,36.22,C,2.56,4
2024-03-03,Gujarat,Vadodara,Sub Mandi,Wheat,Durum,1105,1378,1191.5,Quintal,46.29,B,2.13,3
2024-01-14,Karnataka,Bangalore,Wholesale Yard,Onion,White,1114,1367,1254.5,Quintal,53.86,C,1.51,14
2024-03-15,Punjab,Patiala,Sub Mandi,Potato,Chipsona,904,1136,1010.0,Quintal,25.35,C,1.22,6
2024-06-19,Uttar Pradesh,Kanpur,Agro Market,Maize,Yellow,929,1097,1029.0,Quintal,31.96,C,2.28,4
2024-04-28,Gujarat,Surat,Wholesale Yard,Maize,White,926,1219,1087.5,Quintal,74.52,A,1.07,13
2024-01-08,Punjab,Patiala,Sub Mandi,Sugarcane,CO 0238,885,1203,1076.0,Quintal,77.67,A,1.79,9
2024-05-16,Uttar Pradesh,Varanasi,Main Mandi,Onion,White,1154,1338,1280.0,Quintal,70.69,C,2.6,11
2024-06-28,Maharashtra,Nashik,Sub Mandi,Onion,White,989,1207,1081.0,Quintal,49.59,B,1.06,10
2024-05-03,Gujarat,Ahmedabad,Agro Market,Onion,Red,855,1104,1029.5,Quintal,42.18,C,2.42,7
2024-06-20,Gujarat,Surat,Sub Mandi,Sugarcane,CO 86032,1156,1513,1382.5,Quintal,86.22,C,2.74,12
2024-06-14,Punjab,Amritsar,Main Mandi,Maize,White,1134,1388,1243.0,Quintal,70.36,B,2.18,7
2024-01-07,Uttar Pradesh,Kanpur,Sub Mandi,Maize,Yellow,867,1121,1011.0,Quintal,32.67,B,2.43,10
2024-03-19,Maharashtra,Nagpur,Wholesale Yard,Potato,Kufri Jyoti,935,1324,1157.5,Quintal,11.64,A,1.11,2
2024-03-21,Punjab,Patiala,Sub Mandi,Potato,Kufri Jyoti,1129,1361,1293.0,Quintal,44.09,C,1.93,10
2024-02-04,Punjab,Patiala,Wholesale Yard,Sugarcane,CO 0238,849,1003,957.0,Quintal,68.45,C,1.83,8
2024-06-03,Karnataka,Bangalore,Sub Mandi,Rice,Kolam,998,1215,1079.5,Quintal,55.89,A,1.09,8
2024-05-22,Gujarat,Surat,Sub Mandi,Maize,Yellow,1029,1258,1135.5,Quintal,12.98,C,2.5,12
2024-04-19,Uttar Pradesh,Lucknow,Agro Market,Onion,Pink,1024,1413,1227.5,Quintal,55.97,B,1.67,9
2024-03-05,Gujarat,Ahmedabad,Sub Mandi,Onion,White,1163,1398,1330.5,Quintal,90.42,B,2.36,5
2024-06-10,Uttar Pradesh,Varanasi,Sub Mandi,Rice,Basmati,1004,1316,1163.0,Quintal,63.92,A,1.45,4
2024-04-30,Uttar Pradesh,Lucknow,Agro Market,Potato,Chipsona,823,932,883.5,Quintal,55.83,C,1.3,12
2024-03-19,Karnataka,Bangalore,Agro Market,Sugarcane,CO 0238,1012,1391,1215.5,Quintal,18.43,B,1.91,4
2024-03-26,Karnataka,Hubli,Sub Mandi,Tomato,Hybrid,1124,1257,1216.5,Quintal,57.41,B,1.58,10
2024-06-14,Punjab,Ludhiana,Sub Mandi,Sugarcane,CO 86032,805,1005,887.0,Quintal,95.11,B,2.24,3
2024-05-25,Maharashtra,Nashik,Sub Mandi,Wheat,Durum,992,1266,1126.0,Quintal,34.23,C,2.49,9
2024-02-01,Gujarat,Vadodara,Sub Mandi,Maize,White,868,1064,1009.0,Quintal,48.49,C,2.19,7
2024-06-25,Maharashtra,Nashik,Agro Market,Onion,White,1101,1341,1177.0,Quintal,27.32,C,2.25,8
2024-05-20,Maharashtra,Nashik,Wholesale Yard,Onion,White,1110,1322,1195.0,Quintal,71.41,C,2.17,7
2024-01-26,Karnataka,Hubli,Wholesale Yard,Maize,Yellow,1030,1165,1131.5,Quintal,47.41,C,2.25,7
2024-04-14,Punjab,Amritsar,Sub Mandi,Maize,Yellow,1104,1470,1280.0,Quintal,34.21,C,2.61,14
2024-06-15,Maharashtra,Nagpur,Main Mandi,Onion,White,950,1349,1111.5,Quintal,55.61,C,2.31,15
2024-02-09,Maharashtra,Pune,Main Mandi,Tomato,Desi,1095,1219,1178.0,Quintal,82.48,C,1.0,7
2024-05-20,Punjab,Ludhiana,Wholesale Yard,Wheat,Sharbati,940,1229,1034.5,Quintal,45.93,B,2.23,9
2024-05-06,Gujarat,Surat,Agro Market,Maize,Yellow,918,1188,1014.0,Quintal,76.98,A,1.04,15
2024-03-18,Punjab,Amritsar,Agro Market,Maize,Yellow,1082,1289,1153.5,Quintal,58.4,A,1.4,2
2024-04-22,Uttar Pradesh,Lucknow,Main Mandi,Rice,Basmati,977,1272,1099.5,Quintal,86.24,B,1.79,14
2024-06-26,Gujarat,Surat,Main Mandi,Sugarcane,CO 86032,1155,1458,1326.5,Quintal,40.06,A,1.81,2
2024-05-03,Gujarat,Vadodara,Agro Market,Sugarcane,CO 0238,997,1270,1169.5,Quintal,50.9,C,1.94,3
